BudgetID,PlanningTool,Department,Month,Year,AllocatedBudget,RevisedBudget
BUD_0000000,Excel_Upload,Finance,2,2024,1030583.41,2256624.55
BUD_0000001,Anaplan,IT,2,2026,2159708.67,794426.92
BUD_0000002,Excel_Upload,Sales,11,2026,4460849.41,4898649.78
BUD_0000003,Excel_Upload,IT,3,2024,741995.55,3313039.02
BUD_0000004,Anaplan,IT,6,2026,2047249.34,5386543.63
BUD_0000005,Anaplan,Marketing,5,2025,856846.05,3895429.59
BUD_0000006,Excel_Upload,Finance,11,2026,4829849.61,3247290.02
BUD_0000007,Hyperion,Marketing,1,2024,2875312.52,5817033.39
BUD_0000008,Excel_Upload,Operations,5,2024,3051060.36,5823315.53
BUD_0000009,Excel_Upload,Operations,7,2024,3607129.76,203880.51
BUD_0000010,Excel_Upload,Operations,1,2026,1625740.19,3316451.13
BUD_0000011,Excel_Upload,Marketing,7,2026,2628830.68,2399816.38
BUD_0000012,Anaplan,IT,2,2025,2305468.05,410196.85
BUD_0000013,Excel_Upload,Operations,2,2026,1958532.19,627682.85
BUD_0000014,Hyperion,Operations,3,2025,2518184.88,3456923.87
BUD_0000015,Anaplan,Marketing,7,2026,4979503.46,5508596.58
BUD_0000016,Hyperion,IT,2,2026,1448181.55,4666810.44
BUD_0000017,Hyperion,Operations,3,2024,4434364.24,1874872.83
BUD_0000018,Hyperion,Finance,10,2026,3855500.68,3219356.93
BUD_0000019,Hyperion,Operations,12,2024,470255.16,2104329.07
BUD_0000020,Anaplan,Marketing,8,2026,4435536.32,3430141.32
BUD_0000021,Anaplan,Marketing,1,2026,4529325.43,3742003.65
BUD_0000022,Hyperion,Finance,6,2026,2160597.81,570106.13
BUD_0000023,Hyperion,IT,4,2026,2099084.23,2178551.36
BUD_0000024,Anaplan,Finance,12,2026,4555097.74,461225.75
BUD_0000025,Anaplan,Operations,3,2024,3726134.56,685781.02
BUD_0000026,Anaplan,Marketing,3,2026,1128995.44,2730059.77
BUD_0000027,Excel_Upload,IT,1,2025,4401946.25,5010356.1
BUD_0000028,Excel_Upload,Operations,1,2025,3796765.47,2571458.84
BUD_0000029,Excel_Upload,Finance,5,2026,2052582.36,3067801.0
BUD_0000030,Hyperion,Operations,3,2024,642561.12,4298473.37
BUD_0000031,Excel_Upload,Finance,8,2026,2365533.44,3814830.2
BUD_0000032,Hyperion,Sales,3,2026,4401043.57,5238805.22
BUD_0000033,Hyperion,Sales,2,2024,3366994.93,2972615.07
BUD_0000034,Excel_Upload,Marketing,7,2025,4316522.93,3842010.37
BUD_0000035,Hyperion,IT,11,2025,3148711.13,2618383.58
BUD_0000036,Excel_Upload,Marketing,3,2025,3403573.62,292732.88
BUD_0000037,Excel_Upload,Operations,9,2025,3750176.88,654144.59
BUD_0000038,Anaplan,Sales,5,2025,953328.67,5648257.32
BUD_0000039,Excel_Upload,Marketing,12,2025,75552.58,3537631.63
BUD_0000040,Anaplan,Finance,9,2025,767871.51,3643915.98
BUD_0000041,Excel_Upload,IT,10,2024,4229876.84,4176867.53
BUD_0000042,Excel_Upload,Sales,8,2025,3404874.27,2484984.5
BUD_0000043,Anaplan,IT,12,2024,343659.16,881346.02
BUD_0000044,Anaplan,IT,9,2026,2690098.42,3256688.17
BUD_0000045,Excel_Upload,Sales,8,2025,2159409.05,4479240.85
BUD_0000046,Hyperion,Finance,11,2024,1069357.83,4423397.62
BUD_0000047,Anaplan,Finance,7,2026,4253417.39,1455866.15
BUD_0000048,Hyperion,Finance,3,2025,2362592.8,3830362.06
BUD_0000049,Hyperion,IT,1,2024,2203125.69,3059602.97
BUD_0000050,Hyperion,Finance,9,2025,1614826.13,1024734.15
BUD_0000051,Anaplan,Operations,9,2026,1688103.64,2843541.92
BUD_0000052,Hyperion,Operations,5,2026,2133493.63,2895502.2
BUD_0000053,Anaplan,Finance,5,2026,3252788.65,526741.73
BUD_0000054,Hyperion,Finance,3,2024,3906698.25,5756349.58
BUD_0000055,Excel_Upload,Sales,9,2025,973270.38,3999047.61
BUD_0000056,Excel_Upload,Sales,5,2025,2160252.49,2581599.36
BUD_0000057,Anaplan,Marketing,4,2024,4926839.35,1189358.59
BUD_0000058,Excel_Upload,IT,7,2025,4060772.56,285018.73
BUD_0000059,Excel_Upload,IT,5,2024,1999057.74,5117264.98
BUD_0000060,Hyperion,Sales,7,2025,2531326.42,5635878.94
BUD_0000061,Anaplan,Operations,8,2024,4996196.93,3338216.07
BUD_0000062,Hyperion,Marketing,6,2024,2403211.48,236855.12
