ExpenseID,VendorID,ERP_System,Department,CostCenter,ExpenseType,ExpenseDate,Amount,Currency
EXP_0000000,VEND_01127,NetSuite,Operations,CC400,CAPEX,2024-10-16,176280.95,USD
EXP_0000001,VEND_01460,NetSuite,Marketing,CC200,CAPEX,2023-04-25,17277.89,USD
EXP_0000002,VEND_00861,SAP,Operations,CC200,CAPEX,2023-01-26,11240.63,USD
EXP_0000003,VEND_01295,Oracle_Financials,Operations,CC200,CAPEX,2025-01-29,148919.53,USD
EXP_0000004,VEND_01131,Oracle_Financials,IT,CC300,CAPEX,2023-10-09,7691.4,USD
EXP_0000005,VEND_01096,NetSuite,IT,CC100,OPEX,2023-09-08,3141.1,USD
EXP_0000006,VEND_01725,Oracle_Financials,Marketing,CC300,OPEX,2023-08-17,74257.71,USD
EXP_0000007,VEND_01045,Oracle_Financials,Finance,CC200,CAPEX,2023-05-23,185823.38,USD
EXP_0000008,VEND_01639,Oracle_Financials,IT,CC100,CAPEX,2025-01-24,37929.64,USD
EXP_0000009,VEND_00122,Oracle_Financials,Finance,CC100,CAPEX,2023-04-15,192304.91,USD
EXP_0000010,VEND_00467,NetSuite,IT,CC200,CAPEX,2024-11-23,55510.74,USD
EXP_0000011,VEND_01239,SAP,IT,CC400,OPEX,2025-01-28,112585.58,USD
EXP_0000012,VEND_00331,NetSuite,Finance,CC300,CAPEX,2024-07-12,94688.58,USD
EXP_0000013,VEND_01483,SAP,Sales,CC300,OPEX,2023-03-31,119228.9,USD
EXP_0000014,VEND_00088,Oracle_Financials,IT,CC200,OPEX,2024-08-27,91363.98,USD
EXP_0000015,VEND_01397,Oracle_Financials,IT,CC200,CAPEX,2024-03-08,11881.19,USD
EXP_0000016,VEND_01124,Oracle_Financials,Marketing,CC400,CAPEX,2023-02-02,95725.69,USD
EXP_0000017,VEND_00872,Oracle_Financials,Sales,CC100,OPEX,2023-01-31,27120.65,USD
EXP_0000018,VEND_01688,Oracle_Financials,Finance,CC300,OPEX,2023-04-06,196672.46,USD
